NewCreditCustomer,VerificationType,LanguageCode,Age,Gender,Country,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,EmploymentPosition,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,Defaulted
0,1.0,3,41,1.0,0,5845.0,27.96,24,340.18,8,3.0,1.0,3,3.0,0,,1,1.0,1.0,800.0,167.0,0.0,200,0,0,300.0,1467.0,7,1264.8,1,43.9,33.02,5855.0,3270.8,1900.0,1.0,1
1,3.0,6,34,2.0,1,2400.0,32.0,60,0.0,8,3.0,4.0,1,2.0,3,,1,10.0,2.0,820.0,0.0,0.0,0,0,0,0.0,820.0,5,581.0,0,40.85,158.0,0.0,0.0,0.0,0.0,0
0,1.0,1,38,1.0,0,2125.0,19.27,24,112.0,6,4.0,2.0,3,3.0,0,,0,3.0,3.0,700.0,0.0,90.0,0,0,0,0.0,790.0,8,672.43,0,67.65,5.57,5190.0,827.99,2000.0,1.0,1
0,1.0,1,39,0.0,0,3000.0,23.36,60,91.69,7,5.0,2.0,1,3.0,4,,1,3.0,4.0,1400.0,0.0,0.0,0,0,0,0.0,1400.0,4,703.5,0,26.8,604.81,1600.0,488.62,0.0,0.0,1
0,1.0,1,41,0.0,0,2125.0,34.7,60,79.61,2,4.0,1.0,1,5.0,0,,1,6.0,8.0,1100.0,0.0,0.0,45,0,0,50.0,1195.0,9,1026.52,2,49.39,113.87,5245.0,6054.44,0.0,0.0,0
0,3.0,6,51,1.0,1,800.0,31.12,60,29.11,4,5.0,1.0,3,3.0,0,,5,15.0,1.0,2782.0,0.0,0.0,0,0,0,0.0,2782.0,3,1508.76,0,3.01,1244.13,1500.0,184.09,0.0,0.0,0
1,4.0,1,25,0.0,0,1300.0,28.0,36,129.69129099251387,0,2.0,2.0,1,3.0,5,,2,3.0,2.0,620.0,0.0,0.0,0,0,0,0.0,620.0,5,171.0,1,11.13,395.0,0.0,0.0,0.0,0.0,0
0,3.0,1,31,1.0,0,3720.0,35.33,60,145.21,6,4.0,2.0,1,3.0,2,,0,7.0,3.0,750.0,167.0,50.0,0,0,185,0.0,1152.0,2,491.63,0,25.33,515.16,3185.0,473.0,0.0,0.0,0
0,1.0,1,24,0.0,0,1060.0,33.31,3,376.66,2,4.0,3.0,0,3.0,5,,2,9.0,2.0,800.0,0.0,0.0,0,0,0,0.0,800.0,3,280.68,0,50.92,142.66,1030.0,628.64,0.0,0.0,0
1,4.0,1,37,0.0,0,10000.0,12.0,36,0.0,3,5.0,1.0,5,5.0,2,,4,8.0,3.0,1140.0,0.0,0.0,0,0,0,0.0,1140.0,3,431.0,0,29.12,377.0,0.0,0.0,0.0,0.0,0
1,3.0,4,28,0.0,2,2500.0,26.76,18,178.48,2,2.0,3.0,1,3.0,3,,3,2.0,8.0,2200.0,0.0,0.0,0,0,0,0.0,2200.0,3,1480.0,0,12.66,541.52,0.0,0.0,0.0,0.0,0
1,4.0,4,33,1.0,2,5500.0,31.0,60,0.0,0,5.0,1.0,0,3.0,3,,0,1.0,7.0,3000.0,0.0,0.0,0,0,0,0.0,3000.0,6,1086.0,1,13.23,1887.0,0.0,0.0,0.0,0.0,1
1,1.0,4,27,1.0,2,3185.0,86.27,12,415.67,7,3.0,1.0,0,3.0,2,,3,16.0,3.0,2250.0,0.0,0.0,0,0,0,0.0,2250.0,19,2348.0,4,63.27,151.33,0.0,0.0,0.0,0.0,1
1,4.0,3,25,0.0,0,4200.0,28.0,36,0.0,0,4.0,1.0,0,3.0,5,,2,3.0,8.0,1137.0,0.0,0.0,0,0,0,0.0,1137.0,9,1071.0,2,25.77,436.0,0.0,0.0,0.0,0.0,1
0,4.0,6,49,0.0,1,3185.0,41.21,24,207.59,2,5.0,4.0,0,3.0,0,,5,8.0,8.0,1919.0,0.0,0.0,0,0,0,0.0,1919.0,11,2722.23,4,45.17,40.18,7430.0,1581.65,0.0,0.0,1
1,1.0,1,49,0.0,0,10025.0,23.08,36,447.36,3,5.0,2.0,3,5.0,0,,5,14.0,7.0,1000.0,0.0,0.0,0,0,0,1500.0,2500.0,2,1267.0,0,17.89,785.64,0.0,0.0,0.0,0.0,0
0,4.0,1,24,0.0,0,1000.0,30.0,48,129.69129099251387,0,4.0,2.0,1,3.0,2,,4,15.0,3.0,521.0,0.0,0.0,0,0,0,0.0,521.0,9,328.0,1,42.03,182.0,500.0,247.02,0.0,0.0,0
0,4.0,1,36,0.0,0,2000.0,26.0,12,129.69129099251387,7,5.0,1.0,1,3.0,6,,1,10.0,1.0,2100.0,0.0,0.0,0,0,0,0.0,2100.0,4,3286.2,1,15.49,622.74,1500.0,803.94,0.0,0.0,0
1,1.0,6,35,0.0,1,500.0,75.48,12,62.26,7,5.0,2.0,1,3.0,2,,0,14.0,5.0,1149.0,0.0,0.0,0,0,0,0.0,1149.0,2,394.46,0,9.29,692.28,1300.0,1532.81,0.0,0.0,0
1,4.0,3,24,0.0,0,2125.0,35.6,48,90.66,7,3.0,1.0,1,3.0,5,,2,1.0,3.0,1200.0,0.0,0.0,0,0,0,0.0,1200.0,12,1401.0,3,69.56,5.34,0.0,0.0,0.0,0.0,0
1,3.0,6,38,0.0,1,1000.0,73.73,60,66.53,7,3.0,4.0,0,3.0,5,,1,5.0,8.0,1100.0,0.0,0.0,0,0,0,0.0,1100.0,5,814.0,0,20.96,219.47,0.0,0.0,0.0,0.0,1
1,4.0,1,28,1.0,0,500.0,28.0,48,0.0,7,5.0,2.0,1,3.0,0,,3,16.0,3.0,572.0,0.0,0.0,0,0,0,0.0,572.0,3,230.0,0,20.1,325.0,2500.0,0.0,0.0,0.0,1
1,1.0,1,27,0.0,0,530.0,35.09,60,19.99,6,3.0,3.0,0,3.0,2,,2,3.0,2.0,800.0,0.0,0.0,0,0,0,0.0,800.0,1,250.0,0,2.5,530.01,0.0,0.0,0.0,0.0,0
0,4.0,6,39,1.0,1,975.0,57.09,48,88.48,5,4.0,4.0,1,3.0,0,,0,7.0,2.0,900.0,0.0,0.0,0,0,0,0.0,900.0,6,783.06,0,57.95,28.46,500.0,240.52,0.0,0.0,1
1,1.0,3,31,0.0,0,3185.0,31.47,36,148.4,5,5.0,1.0,0,3.0,3,,0,6.0,5.0,850.0,0.0,0.0,0,0,0,0.0,850.0,13,1157.0,3,69.58,3.6,0.0,0.0,0.0,0.0,1
1,4.0,1,25,1.0,0,2500.0,28.0,36,0.0,2,3.0,1.0,0,3.0,3,,3,1.0,1.0,1033.0,0.0,0.0,0,0,0,0.0,1033.0,6,355.0,0,17.72,575.0,0.0,0.0,0.0,0.0,1
1,1.0,4,51,1.0,2,3435.0,38.57,60,424.93,0,5.0,1.0,0,3.0,0,,5,16.0,9.0,2000.0,0.0,0.0,0,0,0,0.0,2000.0,2,900.0,0,36.25,675.07,0.0,0.0,0.0,0.0,1
0,3.0,4,30,0.0,2,4075.0,23.03,36,259.55,5,3.0,3.0,0,3.0,0,,0,1.0,3.0,1485.0,0.0,0.0,0,0,0,0.0,1485.0,4,752.66,0,34.49,472.79,2000.0,418.39,0.0,0.0,1
1,4.0,6,43,0.0,1,10000.0,24.0,60,0.0,0,4.0,1.0,1,4.0,0,,5,1.0,9.0,2400.0,0.0,0.0,0,0,0,0.0,2400.0,10,1734.0,3,55.5,668.0,0.0,0.0,0.0,0.0,0
1,1.0,1,23,0.0,0,530.0,36.51,12,55.15,4,4.0,3.0,0,3.0,2,,2,1.0,3.0,600.0,0.0,0.0,0,0,0,0.0,600.0,1,250.0,0,9.19,294.85,0.0,0.0,0.0,0.0,0
1,4.0,1,36,0.0,0,8000.0,24.0,60,0.0,0,5.0,2.0,4,3.0,2,,1,11.0,9.0,1775.0,0.0,0.0,0,0,0,150.0,1925.0,18,2145.32,10,21.14,265.0,0.0,0.0,0.0,0.0,1
0,3.0,6,37,0.0,1,3000.0,57.09,60,162.08,8,4.0,3.0,0,3.0,0,,1,14.0,5.0,1761.0,0.0,0.0,0,0,0,0.0,1761.0,4,1370.97,0,57.07,227.95,2000.0,406.65,0.0,0.0,1
0,1.0,1,32,0.0,0,530.0,34.32,12,53.95,7,4.0,3.0,0,3.0,3,,0,3.0,4.0,1100.0,0.0,0.0,0,0,0,0.0,1100.0,1,330.0,0,4.9,716.05,500.0,554.34,0.0,0.0,0
1,4.0,1,29,1.0,0,740.0,21.59,60,21.1,3,4.0,2.0,3,2.0,2,,0,16.0,1.0,0.0,0.0,90.0,0,342,0,0.0,432.0,4,344.0,0,26.64,66.9,0.0,0.0,0.0,0.0,0
0,3.0,6,43,0.0,1,1545.0,55.17,60,98.3,2,4.0,3.0,0,3.0,6,,1,1.0,8.0,1400.0,0.0,0.0,0,0,0,0.0,1400.0,3,860.0,0,10.59,441.7,1000.0,1354.02,0.0,0.0,1
1,4.0,1,32,0.0,0,4650.0,28.0,60,0.0,0,3.0,3.0,0,3.0,3,,4,7.0,2.0,470.0,0.0,0.0,0,0,0,0.0,470.0,7,291.0,6,30.85,316.0,0.0,0.0,0.0,0.0,0
0,1.0,2,39,0.0,1,1055.0,71.74,18,304.3,7,5.0,3.0,0,4.0,0,,0,1.0,4.0,1400.0,0.0,0.0,0,0,0,0.0,1400.0,3,1090.0,0,46.02,5.7,1745.0,1986.24,2500.0,1.0,1
1,1.0,1,37,0.0,0,5315.0,28.61,60,178.97,2,5.0,2.0,3,3.0,4,,0,1.0,6.0,1200.0,0.0,0.0,0,0,0,0.0,1200.0,2,424.0,0,20.25,597.03,0.0,0.0,0.0,0.0,1
1,1.0,4,55,1.0,2,2000.0,21.76,60,61.64,7,5.0,2.0,0,3.0,0,,5,16.0,1.0,2400.0,0.0,0.0,0,0,0,0.0,2400.0,4,2310.0,0,45.9,28.36,0.0,0.0,0.0,0.0,1
1,1.0,6,41,2.0,1,1785.0,154.86,36,355.87,2,3.0,3.0,0,3.0,4,,0,18.0,5.0,1750.0,0.0,0.0,0,0,0,0.0,1750.0,1,525.0,0,20.34,869.13,0.0,0.0,0.0,0.0,1
1,1.0,3,38,0.0,0,4250.0,35.6,60,166.64,2,2.0,4.0,0,4.0,0,,1,1.0,2.0,350.0,0.0,0.0,0,0,0,300.0,650.0,2,325.0,0,25.64,158.36,0.0,0.0,0.0,0.0,1
1,4.0,1,26,1.0,0,2500.0,28.08,60,86.29,0,2.0,2.0,1,3.0,2,,4,7.0,3.0,487.0,0.0,0.0,0,0,0,0.0,487.0,5,650.35,3,33.55,73.59,0.0,0.0,2500.0,1.0,1
0,3.0,1,58,1.0,0,1500.0,16.49,60,41.87,2,4.0,5.0,0,3.0,4,,5,7.0,1.0,580.0,200.0,0.0,0,0,0,0.0,780.0,4,510.01,0,38.7,228.12,5800.0,1939.5,0.0,0.0,0
1,4.0,4,24,0.0,2,4800.0,16.0,18,0.0,0,3.0,2.0,0,3.0,2,,3,8.0,8.0,2035.0,0.0,0.0,0,0,0,0.0,2035.0,7,1193.0,1,23.73,685.0,0.0,0.0,0.0,0.0,1
1,4.0,3,49,1.0,0,5000.0,20.0,48,129.69129099251387,0,3.0,2.0,0,3.0,2,,5,10.0,1.0,685.0,0.0,0.0,0,0,0,0.0,685.0,7,513.0,3,24.96,282.0,0.0,0.0,0.0,0.0,0
1,4.0,3,59,1.0,0,1590.0,14.71,18,104.28,2,2.0,5.0,0,3.0,0,,0,1.0,1.0,550.0,312.0,0.0,0,0,0,0.0,862.0,8,832.0,1,65.93,35.72,0.0,0.0,0.0,0.0,0
1,4.0,1,36,1.0,0,3000.0,28.0,24,129.69129099251387,2,4.0,2.0,1,3.0,0,,0,4.0,8.0,826.0,0.0,0.0,0,0,0,0.0,826.0,6,263.0,1,22.64,398.0,0.0,0.0,0.0,0.0,0
1,3.0,6,49,0.0,1,3000.0,73.73,36,218.72,4,5.0,4.0,0,3.0,5,,1,15.0,2.0,991.0,0.0,0.0,0,0,0,0.0,991.0,1,350.0,0,22.07,422.28,0.0,0.0,0.0,0.0,1
1,3.0,6,30,0.0,1,700.0,40.4,36,36.17,7,1.0,3.0,1,3.0,0,,0,8.0,2.0,1060.0,0.0,0.0,0,0,0,0.0,1060.0,2,582.0,0,25.3,441.83,0.0,0.0,0.0,0.0,0
1,1.0,1,38,1.0,0,1700.0,34.0,36,129.69129099251387,6,5.0,3.0,0,3.0,6,,1,3.0,3.0,900.0,0.0,0.0,0,0,0,0.0,900.0,1,270.0,0,8.44,557.0,0.0,0.0,0.0,0.0,0
1,3.0,3,30,0.0,0,7440.0,19.41,60,219.48,6,2.0,1.0,1,3.0,2,,4,8.0,2.0,500.0,0.0,0.0,0,0,0,0.0,500.0,7,1222.34,6,43.9,30.52,0.0,0.0,0.0,0.0,1
1,3.0,4,41,0.0,2,3485.0,18.4,60,147.65,2,3.0,1.0,0,3.0,0,,1,8.0,8.0,2158.0,0.0,0.0,0,0,0,0.0,2158.0,3,1147.0,0,11.48,863.35,0.0,0.0,0.0,0.0,1
1,1.0,6,32,2.0,1,3185.0,80.26,36,246.59,2,4.0,3.0,1,3.0,6,,0,1.0,2.0,1000.0,0.0,0.0,0,0,0,200.0,1200.0,7,855.0,0,61.8,98.41,0.0,0.0,0.0,0.0,1
1,4.0,6,34,2.0,1,1570.0,59.28,12,368.75,2,4.0,5.0,1,3.0,2,,4,8.0,3.0,1270.0,0.0,0.0,0,0,0,0.0,1270.0,4,1134.0,1,48.25,11.25,0.0,0.0,0.0,0.0,1
1,1.0,6,30,2.0,1,530.0,166.62,48,75.5,8,3.0,3.0,0,3.0,2,,3,15.0,2.0,1205.0,0.0,0.0,0,0,0,0.0,1205.0,10,1124.28,0,69.61,5.22,0.0,0.0,0.0,0.0,1
1,4.0,1,28,0.0,0,10000.0,20.0,48,0.0,7,5.0,2.0,0,3.0,0,,3,3.0,1.0,1013.0,0.0,0.0,0,0,0,1600.0,2613.0,6,416.0,0,21.97,1893.0,0.0,0.0,0.0,0.0,0
0,1.0,3,38,1.0,0,2125.0,17.69,60,60.69,3,5.0,2.0,1,3.0,5,,0,4.0,1.0,1300.0,0.0,50.0,0,0,0,0.0,1350.0,10,976.43,0,46.82,312.88,2125.0,245.64,0.0,0.0,1
1,3.0,1,43,0.0,0,3000.0,31.0,36,129.69129099251387,4,4.0,1.0,0,3.0,0,,5,6.0,8.0,1500.0,0.0,0.0,0,0,0,400.0,1900.0,9,1220.0,0,25.47,542.0,0.0,0.0,0.0,0.0,0
1,1.0,2,51,0.0,2,10000.0,18.4,60,289.45,3,5.0,1.0,1,3.0,5,,1,10.0,8.0,2900.0,0.0,0.0,0,0,0,0.0,2900.0,2,1520.0,0,9.98,1090.55,0.0,0.0,0.0,0.0,1
1,4.0,1,45,1.0,0,1400.0,28.0,18,129.69129099251387,0,4.0,4.0,3,3.0,0,,3,1.0,5.0,1025.0,0.0,38.0,0,0,230,122.0,1415.0,13,969.0,3,32.58,579.0,0.0,0.0,0.0,0.0,0
0,4.0,3,33,1.0,0,3000.0,30.0,48,0.0,0,4.0,1.0,3,3.0,0,,1,8.0,1.0,375.0,0.0,57.0,0,0,0,0.0,432.0,5,700.0,4,25.0,273.0,31.9558,32.0063,0.0,0.0,0
1,3.0,4,37,1.0,2,4500.0,31.0,36,129.69129099251387,0,5.0,1.0,4,3.0,0,,1,7.0,1.0,2266.0,0.0,366.0,0,0,0,0.0,2632.0,4,5189.0,1,22.57,1249.49,0.0,0.0,0.0,0.0,0
0,1.0,4,25,0.0,2,1360.0,28.82,60,107.82,4,3.0,3.0,0,3.0,6,,3,7.0,5.0,1600.0,0.0,0.0,0,0,0,0.0,1600.0,4,898.13,0,31.62,594.05,1330.0,155.79,1500.0,1.0,1
0,1.0,6,37,0.0,1,1060.0,62.49,36,69.31,4,4.0,3.0,0,3.0,0,,1,14.0,1.0,1400.0,0.0,0.0,0,0,0,0.0,1400.0,5,762.25,0,8.97,568.44,2800.0,3269.21,0.0,0.0,0
1,1.0,4,55,0.0,2,2000.0,21.76,60,60.8,0,5.0,1.0,0,3.0,0,,5,16.0,8.0,2458.0,0.0,0.0,0,0,0,0.0,2458.0,5,1797.0,0,25.26,600.2,0.0,0.0,0.0,0.0,0
1,4.0,1,47,0.0,0,1590.0,12.41,12,146.88,5,4.0,2.0,3,3.0,2,,5,1.0,7.0,1200.0,0.0,0.0,0,0,0,0.0,1200.0,4,776.0,0,21.91,277.12,0.0,0.0,0.0,0.0,0
1,4.0,6,47,0.0,1,3000.0,22.0,60,0.0,5,4.0,1.0,1,3.0,6,,5,1.0,2.0,1250.0,0.0,0.0,0,0,0,0.0,1250.0,4,447.0,0,17.92,711.0,0.0,0.0,0.0,0.0,0
1,1.0,6,37,1.0,1,129.98999999999998,67.95,60,97.22,2,3.0,1.0,1,2.0,2,,3,10.0,8.0,580.0,0.0,0.0,0,0,0,1800.0,2380.0,3,1188.0,0,9.13,1094.78,0.0,0.0,0.0,0.0,1
0,1.0,6,57,0.0,1,2125.0,49.89,12,233.1,2,3.0,1.0,0,3.0,0,,5,1.0,1.0,1550.0,0.0,0.0,0,0,0,0.0,1550.0,5,1565.0,1,66.65,51.9,0.0,0.0,2000.0,2.0,1
1,4.0,1,29,1.0,0,2500.0,28.0,60,0.0,2,4.0,4.0,1,3.0,3,,2,1.0,7.0,527.0,0.0,38.0,0,0,0,0.0,565.0,3,206.0,0,30.62,281.0,0.0,0.0,0.0,0.0,1
1,4.0,1,25,1.0,0,5623.0,33.0,48,0.0,1,4.0,1.0,4,3.0,2,,2,19.0,1.0,769.0,0.0,0.0,0,0,0,0.0,769.0,1,250.0,0,34.33,217.0,0.0,0.0,0.0,0.0,1
1,4.0,3,52,1.0,0,500.0,30.0,18,129.69129099251387,6,5.0,4.0,1,3.0,4,,5,11.0,8.0,320.0,150.0,230.0,0,0,0,45.0,745.0,9,563.0,0,38.79,147.0,0.0,0.0,0.0,0.0,0
1,1.0,6,35,2.0,1,1590.0,72.86,12,195.7,5,3.0,3.0,0,3.0,4,,0,7.0,2.0,890.0,0.0,0.0,0,0,0,0.0,890.0,2,406.0,0,28.28,288.3,0.0,0.0,0.0,0.0,0
1,1.0,1,25,1.0,0,6375.0,34.38,60,244.98,1,5.0,2.0,1,3.0,2,,4,8.0,4.0,480.0,0.0,50.0,0,0,0,1500.0,2030.0,3,696.0,0,16.35,1089.02,1060.0,1122.07,0.0,0.0,0
1,4.0,6,34,0.0,1,215.0,65.94,48,363.55,2,4.0,1.0,3,3.0,2,,3,9.0,4.0,1155.0,0.0,0.0,0,0,0,0.0,1155.0,2,463.0,0,41.26,328.45,0.0,0.0,0.0,0.0,1
1,4.0,1,31,0.0,0,1100.0,12.0,24,129.69129099251387,7,5.0,3.0,3,3.0,0,,0,15.0,2.0,1306.0,0.0,0.0,0,0,0,0.0,1306.0,9,681.0,0,3.98,573.0,0.0,0.0,0.0,0.0,0
1,1.0,1,36,0.0,0,2000.0,23.9,12,187.58,5,4.0,3.0,0,5.0,4,,0,1.0,4.0,1712.0,0.0,0.0,0,0,0,0.0,1712.0,4,1007.0,0,39.81,517.42,0.0,0.0,0.0,0.0,1
1,2.0,6,31,0.0,1,2000.0,34.0,48,0.0,7,4.0,1.0,1,3.0,0,,0,1.0,3.0,1110.0,0.0,0.0,0,0,0,0.0,1110.0,3,650.0,0,65.5,383.0,0.0,0.0,0.0,0.0,1
1,3.0,6,36,1.0,1,600.0,73.73,60,39.92,7,5.0,3.0,0,3.0,0,,0,8.0,3.0,950.0,0.0,0.0,0,0,0,0.0,950.0,2,545.0,0,24.73,365.08,0.0,0.0,0.0,0.0,1
1,1.0,4,36,0.0,2,2125.0,53.53,36,126.74,7,3.0,4.0,1,3.0,2,,0,1.0,8.0,4400.0,0.0,0.0,0,0,0,0.0,4400.0,4,1994.0,0,10.24,2279.26,0.0,0.0,0.0,0.0,1
1,1.0,1,22,1.0,0,1200.0,35.0,18,129.69129099251387,4,4.0,3.0,0,3.0,3,,2,18.0,3.0,500.0,0.0,0.0,0,0,0,0.0,500.0,1,250.0,0,17.4,160.0,0.0,0.0,0.0,0.0,0
1,1.0,6,30,1.0,1,1060.0,64.09,36,60.77,4,5.0,3.0,0,3.0,3,,0,1.0,3.0,1500.0,0.0,0.0,0,0,0,0.0,1500.0,1,450.0,0,4.05,989.23,0.0,0.0,0.0,0.0,0
1,1.0,6,35,0.0,1,2360.0,55.35,24,764.63,0,4.0,1.0,1,3.0,0,,0,9.0,2.0,1800.0,0.0,0.0,0,0,0,0.0,1800.0,3,1035.0,0,59.15,0.37,0.0,0.0,0.0,0.0,0
0,4.0,1,44,0.0,0,6910.0,15.5,60,181.18,7,4.0,1.0,1,3.0,2,,5,6.0,8.0,1300.0,0.0,0.0,0,0,0,0.0,1300.0,7,1085.87,2,39.16,281.95,4200.0,1373.85,0.0,0.0,1
1,2.0,6,23,2.0,1,2600.0,38.0,36,0.0,0,2.0,3.0,1,4.0,2,,2,1.0,2.0,875.0,0.0,0.0,0,0,0,0.0,875.0,7,567.0,3,19.66,186.0,0.0,0.0,0.0,0.0,1
0,3.0,1,33,0.0,0,1060.0,20.38,60,30.61,7,2.0,1.0,3,3.0,5,,0,1.0,1.0,1000.0,0.0,0.0,0,0,0,0.0,1000.0,5,628.15,0,17.88,341.24,4700.0,847.64,0.0,0.0,1
1,3.0,6,33,0.0,1,990.0,58.06,60,370.16,7,3.0,1.0,1,3.0,0,,1,1.0,1.0,1550.0,0.0,0.0,0,0,0,0.0,1550.0,3,1174.0,0,69.62,5.84,0.0,0.0,0.0,0.0,0
1,1.0,1,46,0.0,0,2000.0,20.12,9,247.93,3,4.0,2.0,1,5.0,0,,5,3.0,1.0,2000.0,0.0,0.0,0,0,0,0.0,2000.0,1,600.0,0,12.4,1152.07,0.0,0.0,7700.0,1.0,0
1,3.0,4,28,0.0,2,500.0,31.0,60,17.94,2,5.0,3.0,0,3.0,0,,0,7.0,1.0,1575.0,0.0,0.0,0,0,0,0.0,1575.0,1,500.0,0,1.14,1057.06,0.0,0.0,0.0,0.0,0
1,3.0,4,34,1.0,2,3190.0,21.8,6,572.89,7,5.0,3.0,1,3.0,6,,0,17.0,3.0,1744.0,0.0,155.0,0,0,0,0.0,1899.0,5,901.0,0,47.65,425.11,0.0,0.0,0.0,0.0,1
0,4.0,1,30,0.0,0,3500.0,33.0,24,129.69129099251387,0,5.0,2.0,0,5.0,0,,0,11.0,3.0,2000.0,0.0,0.0,0,0,0,0.0,2000.0,4,696.0,1,19.85,1103.0,6239.1165,5872.7703,0.0,0.0,0
1,3.0,4,31,1.0,2,10000.0,27.57,60,342.09,7,3.0,1.0,1,3.0,0,,0,1.0,8.0,1600.0,0.0,95.0,0,0,0,0.0,1695.0,2,788.0,0,20.18,564.91,0.0,0.0,0.0,0.0,1
1,4.0,1,27,0.0,0,7000.0,28.0,60,0.0,0,5.0,3.0,0,3.0,3,,4,19.0,3.0,1016.0,0.0,0.0,0,0,0,0.0,1016.0,7,842.0,2,27.17,335.0,0.0,0.0,0.0,0.0,0
0,3.0,1,26,0.0,0,2125.0,26.49,60,71.32,3,3.0,3.0,0,3.0,2,,4,8.0,2.0,1500.0,0.0,0.0,0,0,0,0.0,1500.0,1,450.0,0,4.75,978.68,1815.0,1913.17,0.0,0.0,0
